unique_samplingProtocol_value,n_count
ROUTINE,188960
GearType=pot,184801
Sampling instrument: 50: Sediment Grab; Seive mesh size: 1.000mm,181858
Seven m Beam trawl,163981
Bottle,162849
"Four m Beam Trawl, port",162193
https://dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2,160114
standard lobster trap baited with mackerel,159233
"ROV equipped with a colour camera (570 line/02 Lux, 4:3), analyzed using customizable video annotation software COVER (Ifremer)",151938
bucket,144367
capture for bio-logging:device type= PTT:device id=,140714
"Four m Beam Trawl, starboard",136309
Underwater visual survey - 20 x 2m,127344
Transecto de punto intercepto,125818
fukui trap,125075
"vertical net tow using 60cm diameter ring net, 200 micron mesh",124449
Engels,123342
Protocolo SIMAC - Cobertura de organismos sésiles,113004
9 Western IIA trawl,112169
Braun-Blanquet method as described in metadata,111209
cbs point contact https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-pc,111111
standard lobster trap baited with herring,108928
https://repository.oceanbestpractices.org/handle/11329/1738,102723
Gear=otter trawl; TagType=spaghetti tag; TagAttachment=T-bar,101857
Throw-trap method as described in metadata,101093
"During low tides, percent cover of taxa in quadrats determined using a 20 cm × 20 cm frame divided in 100 squares with monofilament line.",100620
https://dx.doi.org/10.17504/protocols.io.bucjnsun,99159
visual observation from whale watching boat,97985
Research Vessel: GADUS,96324
WP II-56 cm,94311
Niskin Carrousel,94281
Net,93901
averaged_sample,92795
Underwater Visual Census,92554
https://github.com/HakaiInstitute/rocky-subtidal-fish-invertebrate/blob/main/docs/Protocol.pdf,81714
SCUBA transects,80990
"""Gear: bottom trawl made of four panels, referenced as GOC73, with 10 mm of mesh side in the codend and doors of type Morgére, with 2.5-3 m vertical opening and 16-22, horizontal opening. SCANMAR system is used in each haul to estimate its effective duration and the geometry of the net.""",79763
https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,79140
Niskin bottle,78282
Van Veen,76057
line trasect and photo quadrat; doi:10.1371/journal.pone.0130823,75152
SBTL_FISH_CRANE,74882
http://purl.org/spc/digilib/doc/fs6ca,73395
boat - camera,73099
Bottom trawl,71732
NPL022,71462
Collecting method: Marutoku net; Vessel: SOYO; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,71137
Sampling device : 1000 ml bottle  -  Size filter : generally before 2007 1.2 micrometers and after 2007 0.7 micrometers,70232
cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,69426
BIONESS 1.0m,68786
GearType= High opening bottom trawl,67137
Ikke oplyst,63693
Core_01,62100
Bottom Trawl,61849
"oblique net tow using 60cm diameter bongo net, 335 micron mesh",61280
"Sediment coring (Kasten Coring). See Armbrecht, Focardi et al. 2023 (https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JG007252) and Armand et al. 2023 (https://openresearch-repository.anu.edu.au/handle/1885/142525)",60867
Stationary visual survey - 4 x 2m,60241
Underwater Visual Survey - 20 x 2m,58330
birds counted from ship,57804
ROV,57603
Smørstikke,57197
standard lobster trap baited with frozen mackerel,50541
RCMed U-CEM protocol,50255
satellite telemetry,49275
Collecting method: Marutoku net; Vessel: HOKKO; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,48896
http://www.helcom.fi/Documents/Action%20areas/Monitoring%20and%20assessment/Manuals%20and%20Guidelines/Guidelines%20for%20monitoring%20of%20mesozooplankton.pdf,47636
Sampling instrument: TOOL0963: Day grab; Seive mesh size: 0.500mm,47278
Stationary Point Count (SPC); doi:10.1371/journal.pone.0130823,47236
http://purl.org/spc/digilib/doc/pfj5w,46744
Protocolo SIMAC - Salud coralina,46424
"Visual census as point counting on free-choice routes using unlimited recording distance, each count route consists of 20 points with 5-minute stops at least 200 m apart in closed landscape and 300 m in open landscape to minimize double-counting of individuals.",45408
capture for bio-logging:device type= GPS:device id=,43850
MRMLN004000000AE_METH_001,43512
MRUMU100000000CA_METH_001,42939
Protocolo SIMAC - Censo abundancia de peces arrecifales,42927
boat - grab,42887
"Sampling device : Quadrat 33 x 33 cm (0,1 m2)",41699
Multicore,41332
http://ipt.sb-roscoff.fr/ipt/resource?r=benthobs-pn#methods,40996
Deployment,40831
Sampling device : Benne Smith Mc Intyre ; Taxon count after sieving 1 mm (square mesh),40607
Research Vessel: MARINUS,40597
Van Veen 0.1 m2,39839
SBTL_SIZEFREQ_VRG,39311
a beach seine that is 30 m long by 2 m high with 6 mm mesh size,39290
Harstad trawl,38620
Collecting method: Marutoku net; Vessel: WAKATAKA; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,38537
derived effort,38491
fish -- BOT,37800
"boat - camera, grab",37544
Collecting method: Marutoku net; Vessel: CHIBA No.2; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,37437
"Sled, epibenthic",36971
MRMLN00300000002_METH_001,35247
Sampling instrument: TOOL0653: Van Veen Grab; Seive mesh size: 1.000mm,35027
Transectos de banda,34682
GOV trawl,33881
SCUBA diver survey,33411
distance sampling,33320
Niskin bottle sampling,33248
"Zooplancton: Arrastres superficiales rectos durante 1 min con una red cónica de zooplancton de 0,38 m de diámetro de boca y 130 μm de ojo de malla. Perifiton: Raspado de sustratos naturales y artificiales, se empleó un cuadrante con un área de 36 cm2. Macrozoobentos: Se realizaron raspados al epibentos adherido a sustratos duros sintéticos y naturales, se ubicó un cuadrante de 0,5 m x 0,5 m, al que se adhirió una bolsa de malla de 500 μm. Fitoplancton: Arrastres superficiales (< 1 m profundidad) circulares, con red de fitoplancton de ojo de malla de 21um.",32437
"Standard (14"") Campelen",32295
"Modified (21"") Campelen",31686
tracking tags,31075
"Large VV grab,Subsample method: Sieve content - Mesh size (mm): 1.0",31025
MRMLN0010000000F_METH_001,30200
MRMIT60000000014_METH_001,29894
ferrybox_sample,29769
"Observaciones en parcelas cuadradas de 100 m2, separadas cada 10 m una de la otra",29650
SCOR VNH mesh=351,29619
"Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0",29172
Large-Area Stationary Point Count(SPC) surveys; https://inport.nmfs.noaa.gov/inport/item/5566.,28934
By boat; Top 4 cm of the sample,28858
https://doi.org/10.5281/zenodo.8237301,28817
MRUMU100000000CB_METH_001,28604
standard lobster trap baited with redfish,28580
Collecting method: Marutoku net; Vessel: SHUNYO; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,28450
Lowestoft Sampler,28405
Collecting method: Marutoku net; Vessel: HAYACHINE; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,28282
Gear=cod trap; TagType=spaghetti tag; TagAttachment=T-bar,28050
MRCON05300000009_METH_002,27900
original general observation,27658
Sampling device : Benne Smith Mc Intyre ; Taxon count after sieving 1 mm (round mesh),27355
By foot; Top 4 cm of the sample,27099
3 replicate samples by 20 * 20 cm metal frames are collected from each homogeneous bottom zone.,27005
"Sampling device : Quadrat 50 x 50 cm (0,25 m2)",26874
GearType=pots,26707
Gear=otter trawl; TagType=English yellow Peterson disc; TagAttachment=stainless steel wire,26706
GearType= Scampi trawl,26321
Censos en transectos y/o puntos,26177
"Sampling instrument - Jedy's net N 49, mesh size=0,168 mm",26044
MRCED00500000102_METH_001,25946
BIONESS 0.5m,25876
underwater visual census point count technique,25536
GearType=scampi bottom trawl,25429
"Niskin bottle, 5 l",25262
Gear=unspecified trap or miscellaneous; TagType=spaghetti tag; TagAttachment=T-bar,25223
"Sampling device : Benne Van Veen 0,1 m2 ; Taxon count after sieving 1 mm (square mesh)",25175
Ring net 0.75m xbow,24923
"{""SamplerType"":""Imaging Flow Cytobot""}",24822
"Scuba diving surveys are conducted along transects measuring 30 x 2m. Data collected on the transects include depth of transect, number, size and species of abalone and urchins, number of associated species and predators, substrate percent cover, and algal type percent cover.",24474
Sampling device : Benne Smith Mc Intyre ; Comptage des taxons après tamisage 1 mm (maille carrée),24001
"boat - camera, diver",23998
Collecting method: Marutoku net; Vessel: IWATE; Wire length: ; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,23740
Collecting method: Marutoku net; Vessel: SHOYO; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,23638
MRUMU100000000C9_METH_001,23580
passive acoustic monitoring,22928
METH_01,22703
"Sampling with a hose. 'Lindahl, O., 1986. A dividable hose for phytoplankton sampling. In Report of the ICES Working Group on Exceptional Algal Blooms, Hirtshals, Denmark, 17-19 March 1986. ICES, C.M. 1986/L:26.'",22147
MBAMIRTU00000001_METH_001,21873
MRMLN00100000057_METH_001,21775
Collecting method: Marutoku net; Vessel: HOKKO; Wire length: ; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,21716
Oceanographic bucket,21589
video taken using a remote camera,21490
Other,21340
VID-TOW,21243
Visual observation from vessel,20950
refer to parent event,20654
GearType=bottom trawl,20597
MRNE013400000064_METH_002,20364
"boat - grab, sled",20072
3 replicate samples by 20 * 20 cm metal frames are collected from each homogeneous bottom zone,20069
standard lobster trap baited with salt mackerel,19974
Irregular plot,19891
Collecting method: Marutoku net; Vessel: KITAKAMI; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,19343
"boat - camera, sled",18720
"RP-sledge,Subsample method: Decanted - Mesh size (mm): 0.5",18643
"Counts are made by scanning flocks of waterbirds (which usually comprise several species) with a telescope or with binoculars as appropriate, and counting each species one-by-one, or in “blocks” of bigger numbers",18512
Photoquadrats - 0.66 X 0.75 m,18445
Collecting method: Marutoku net; Vessel: SHUNYO; Wire length: ; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,18408
MRMLN004000000A8_METH_002,18367
Field observation,18275
Sampling instrument: 50: Sediment Grab,18070
"Small VV grab,Subsample method: Sieve content - Mesh size (mm): 1.0",18019
Collecting method: Marutoku net; Vessel: IWATE; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,17920
"https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.",17910
Unspecified,17842
Research Vessel: SHAMOOK,17657
http://ipt.sb-roscoff.fr/ipt/resource?r=phytoplankton_somlit-astan#methods,17544
"boat - diver, grab",17446
Unknown,17418
"Sampling device : Benne Van Veen 0,1 m² ; Comptage des taxons après tamisage 1 mm (maille carrée)",16649
"Sampling device : Benne Van Veen 0,1 m2 ; Comptage des taxons aprés tamisage 1 mm (maille carré)",16580
"APHA. (1989). Standard methods for the examination of water and wastewater, 17th edn. American Public Health Association, Washington, DC; Utermohl H. (1958). Zur Vervollkommnung der quantitativen Phytoplankton-Methodik. Mitt Int Verh Theor Angew Limnol 9:1-38",16442
standard lobster trap baited with crabs,16337
"Sampling device : Benne Van Veen 0,1 m2 ; Taxon count after sieving 1 mm (round mesh)",16280
Bongo net hauled vertically,16207
SBTL_SIZEFREQ_PISCO,16096
Alfredo-03,16014
epibenthic sampling,15907
https://doi.org/10.1038/s41597-024-03744-9,15900
Box corer,15853
https://doi.org/10.3389/fmars.2020.615458,15744
Collecting method: Marutoku net; Vessel: IWAKI; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,15733
Analyzed images are targeted to be 50 meters apart.,15586
"Sampling device : PVC corer diam. 11.28 cm (0,01 m2) ; Taxon count after sieving 1 mm (square mesh)",15515
Grabadora acústica Audiomoth,15403
DayGrab,15341
Cosmos 2600,15258
Unspecified zooplankton net or nets,15247
"Mesozooplankton was collected with Juday net: mesh size 112 mm, net mouth opening 0.37 m.",15224
Counts represent sightings made from an airplane. Observations are made from both sides of the plane by different observers and considered different occurrences.,15191
BACT_NUC-DNA(100L)_W0.22-3,15034
Hand-sampling | leaf-litter sampling,14926
Collecting method: Marutoku net; Vessel: MITO; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,14735
Research Vessel: INV II,14432
MRUMU100000000C4_METH_001,14337
Surface sample collected using a bucket,14327
Collecting method: Marutoku net; Vessel: WAKATAKA; Wire length: ; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,14247
BOT,14169
Shrimp trawl / Fish trawl,13941
https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,13906
dredge,13872
standard lobster trap baited with frozen herring,13853
Photoquadrats 50 X 50cm,13849
MRCON05300000009_METH_001,13848
standard lobster trap baited with not provided,13711
SCUBA,13684
MRCON02300000005_METH_001,13652
MRUMU1000000001B_METH_001,13649
colony census,13527
"Sampling device : Quadrat 33 x 33 cm (0,1 m²)",13419
stratified oblique trawl | opening-closing | RMT25,13402
Sampling device : Benne Smith Mc Intyre ; Comptage des taxons après tamisage 1 mm (maille ronde),13375
Minibongo frames of 30 cm fitted with 200 and 90 µm meshes and calibrated Hydrobios flowmeter and syringe with a filter holder attachment,13249
Boat angling,13245
Collecting method: Marutoku net; Vessel: HOYO No.12; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,13226
MRCON05300000004_METH_002,13146
https://github.com/HakaiInstitute/nearshore-RI_motileInvertebrates/blob/eaebf4b2b252b48ba79eae92e32e5f8b6d6f2ac1/protocols/rocky_intertidal-protocol.pdf,13018
MRMLN00100000058_METH_001,13009
Binoculars,12844
transect_surveys,12778
JNCCMNCR10000265_METH_001,12735
"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",12686
Swimming,12671
"SCUBA diving, grab samplers and piston corer",12418
standard lobster trap baited with herring/ mackerel,12333
replicate systematic aerial survey,12263
"Trawl, Fish, Bottom",12183
capture for bio-logging:device type= GLS:device id=,12049
"Trawl, Beam",12017
LPI,11941
standard lobster trap baited with salt herring,11888
GearType=Bottom trawl,11849
"Pelagic (or midwater) trawling in the northern Adriatic developed in the 1950s, targeting mostly small pelagic fish such as anchovy (Engraulis encrasicolus) and sardine (Sardine pilchardus). Midwater trawling is carried out by two paired vessels having similar size and engine power (average engine power is 440 HP, average length overall LOA is 25 m and average vessel size is 90 GT). The midwater trawl net consists of a cone- or pyramid-shaped body whose size depends on engine power, available towing pull, and vessel size. The horizontal opening of the net is provided by the distance between the two vessels during towing, whereas its vertical opening is ensured by floats on the headline and weights on the groundline. The minimum mesh size of the codend of the midwater trawl is 20 mm (EC Regulation 1967/2006).  https://doi.org/10.1371/journal.pone.0191647.g001 https://doi.org/10.3389/fmars.2019.00365",11785
MRCON05300000008_METH_004,11776
Peterson Grab,11738
capture for bio-logging:device type= PTT:device id= 7075,11710
MRNE01080000002B_METH_003,11698
boat - sled,11635
trawl,11519
Bottom-grabs are used for sampling. Three replicate samples are collected from each station.,11511
MRNE010800000048_METH_001,11498
Gear=longline; TagType=spaghetti tag; TagAttachment=T-bar,11479
Collecting method: Marutoku net; Vessel: SOYO; Wire length: ; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,11417
by hand,11238
MRNE010800000035_METH_002,11213
Collecting method: Marutoku net; Vessel: HEIWA IBARAKI; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,11126
"“At each station, scuba divers collected 3 virtually undisturbed sediment cores using polycarbonate sample tubes (12.7 cm I.D) with a sample area of 127 cm^2. Subsamples of the upper 1.5 cm were taken for microphytobenthos analysis. For the microphytobenthic analyses, aliquots of 2 cm^3 of homogenised sediment were withdrawn using a syringe and directly fixed with 10 ml of formaldehyde (4% final concentration) buffered solution CaMg(CO3)2, in pre-filtered bottom seawater (0.2 ml filters). After manual stirring, 20 microlitter aliquots of the sediment suspension were drawn off from the slurries and placed in a counting chamber.”",11040
3 Yankee #36 otter trawl,11037
Photoquadrats - 0.25 x 0.25 m,11005
https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/6785/,10976
2,10933
JNCCMNCR10000261_METH_002,10876
MRCCW31700000003_METH_002,10854
Collecting method: Marutoku net; Vessel: SHOYO; Wire length: ; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,10685
SBTL_SIZEFREQ_HSU,10658
"Trawl, Agassiz medium",10536
MRUMU100000000C6_METH_001,10476
Conteo por sitios (áreas) sin ajuste de la probabilidad de detección.Protocolo red neotropical de aves playeras en el pacifico americano,10470
Gear=purse seine; TagType=spaghetti tag; TagAttachment=T-bar,10414
10 FOOT SEINE,10338
Human observation in transect and quadrat,10120
Red bongo de 300 y 500 um con arrastre superficial,10080
MRCON05300000009_METH_004,10047
Research Vessel: W T,10030
Multicorer,9973
juday100µm,9953
MRCCW16900000002_METH_005,9857
Bottom longline fishing,9837
https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/6810/,9828
Research Vessel: AT CAME,9789
Ring net 0.75 o/c,9763
"Quadrat 50 x 50 cm (0,25 m2)",9692
Baited Camera,9662
"Samples of zooplankton were collected by vertical hauls by Juday net: Opening mouth diameter 37 cm, square 0,1 m2, mesh size 180 micro m.",9630
Sampling device: WP2 net; WP2 net mesh size: 100 µm,9603
Count / Photo,9594
"Sampling device : Carottier PVC diam. 11.28 cm (0,01 m²) ; Comptage des taxons après tamisage 1 mm (maille carrée)",9589
"Sampling device : Quadrat 50 x 50 cm (0,25 m²)",9518
MRSNH01600000008_METH_004,9290
Commercial Gear: Otter Trawl (stern),9235
Dredge,9212
Gear=weir; TagType=spaghetti tag; TagAttachment=T-bar,9195
"Identification and abundance measurement of each algal, invertebrate and lichen macrospecies within 25 cm2 quadrats: 20 replicates at midshore, 10 northwards (cold) and 10 southwards (hot); and 10 replicates at lowshore on flat surfaces",9183
Research Vessel: LAND,9119
Box Core; subsamplingcoefficient: 1,9052
MRCON04100000006_METH_001,9042
Commercial Gear: Gillnet,9001
midwater trawl,8985
MRMLN004000000AD_METH_001,8894
Collecting method: Marutoku net; Vessel: TANKAI; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,8825
Beam trawl,8721
MRCON0530000000A_METH_002,8708
Peterson bottom sediments sampling,8692
https://doi.org/10.3389/fmars.2020.572680,8639
"beam trawl 6 m used, mesh size (in m) 0.02",8638
"Several field of views could occur over 1 second of video, if speed over ground was high. As such, for each second of video, the video was stopped, crinoids were counted in view then video restarted until new individuals appeared, and video was paused again.",8632
capture for bio-logging:device type= PTT:device id= 6393,8597
MRCON0530000000A_METH_004,8535
MRUMU10000000009_METH_001,8480
The presence or absence of the focal species,8247
MRMLN00100000047_METH_001,8198
MRCON0530000000A_METH_003,8146
"Van Veen (0,100)",8113
capture for bio-logging:device type= PTT:device id= 60037,8111
capture for bio-logging:device type= PTT:device id= 6394,8098
Motoda Net XX13 | https://www.bco-dmo.org/instrument/555 | Mesh size of 100 microns | Single net or net pair vertical tow (1) | Wiebe et al. (2015). A vocabulary for the configuration of net tows for collecting plankton and micronekton. J. Plankton Res. 37(1):21-27. doi:10.1093/plankt/fbu101,8066
MRSNH0160000000B_METH_003,8015
MRUMU1000000001D_METH_001,7923
Seine net,7921
MBAMNMMP00000001_METH_007,7905
"Vessel: Bios; Fish samples were taken with a cotton bottom otter-trawl net with wing mesh-size of 55 mm, cod-end mesh-size of 20 mm, foot-rope length of 36.3 m and head-rope length of 29.1 m",7904
Collecting method: Marutoku B net; Vessel: IWAKI; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,7897
BACT_NUC-RNA(10L-or-10min)_W0.22-3,7835
MRMIT60000000018_METH_001,7822
Sanders epibenthic sledge,7773
unknown,7682
cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath,7667
Trap,7630
Van Veen grab,7584
Collecting method: Marutoku net; Vessel: TENYO; Wire length: ; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,7560
MRCON05300000008_METH_001,7535
SOCKEYE MIGRATION,7534
MRCON0510000000B_METH_001,7529
dive,7521
https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/5998/,7500
capture for bio-logging:device type= PTT:device id= 78114,7492
rotenone,7406
MRMIT6000000001C_METH_003,7366
pump,7336
MRNE014100000003_METH_004,7334
MRCON04300000002_METH_106,7333
MRNE01080000000A_METH_001,7317
"Vertical tows by Hensen net (73 cm mouth diameter, 330 µm mesh size) from above the bottom to the surface (100–0 m) at towing speed of 0.3 m/s",7308
Variable (museum collection) - sieve mesh size: 1 mm,7277
capture for bio-logging:device type= PTT:device id= 69040,7268
MRUMU1000000001A_METH_001,7177
MRMIT6000000001C_METH_004,7152
stratified oblique trawl | opening-closing | IYGPT,7119
JNCCMNCR10000242_METH_004,7099
Juday-bogorov Net (300µm mesh size).,7099
"Dredge, rock",7078
"Identification and abundance scaling of each algal, invertebrate and lichen macrospecies observed from top to lowshore; abundance estimation based on the SACFOR scale",7075
capture for bio-logging:device type= PTT:device id= 24656,7049
JNCCMNCR10000434_METH_001,7045
stratified oblique trawl | opening-closing | IYGPT with MIDOC | https://cchdo.ucsd.edu/data/12287/10003-DOC-0041-01-201516MarineDataVoyageReportV3.docx,7038
MRCON04100000008_METH_001,7012
horizontal | opening-closing | IYGPT,6960
bottom trawl,6956
Gear=NA; TagType=spaghetti tag; TagAttachment=T-bar,6948
Censos visuales alrededor de la isla con método de transectos,6937
Gear=otter trawl; TagType=yellow/red disc; TagAttachment=stainless steel wire,6920
capture for bio-logging:device type= PTT:device id= 69044,6912
ICHTHYOCIDE,6902
Redes de arrastre,6886
https://doi.org/10.1093/icesjms/fsaa225,6868
ichthyocide,6823
MRCCW30000000061_METH_002,6810
seine,6795
MRUMU100000000C8_METH_001,6788
electrofishing,6788
https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/6763/,6735
EBS,6710
Sampling device : Pump  -  Size filter : generally before 2007 1.2 micrometers and after 2007 0.7 micrometers,6706
MRCON0510000000B_METH_003,6679
Daily sightings of jellyfish by citizens from 2009 to 2017,6669
MRCON05300000004_METH_001,6649
"The date is arbitary set to the 1st of the month because the exact day is not available. Aerial survey is carried out during the specified month at great coefficient low tide. The position of the algae and their total surface of deposit can vary during the month, the situation reported corresponds to the situation on the day of the flight.",6640
Hayward grab,6637
METH1,6636
MRCED00500000008_METH_001,6624
https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/8276/,6608
https://publications.gc.ca/collections/collection_2017/mpo-dfo/Fs97-6-3158-eng.pdf,6573
Collecting method: Marutoku net; Vessel: MITO; Wire length: ; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,6572
Recolecta manual,6552
"beam trawl 4.5 m used, mesh size (in m) 0.08",6545
MRMCS01900000013_METH_001,6539
Commercial Gear: Cod trap (NF),6526
capture for bio-logging:device type= PTT:device id= 22490,6479
"counts were the maximum number of seals observed (visible at the surface) within a three minute duration, separated by a three minute interval, for one hour per site",6469
standard lobster trap baited with flounder,6445
STROMER,6440
ND,6422
BACT_NUC-DNA(100L)_W0.22-1.6,6411
standard lobster trap baited with gaspereau,6388
MRCON02200000002_METH_034,6379
https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/6767/,6370
Gear=angling or dip net; TagType=spaghetti tag; TagAttachment=T-bar,6364
Gridded monthly summaries from catch records,6356
MRCON02200000002_METH_006,6356
capture for bio-logging:device type= PTT:device id= 69046,6338
MRMLN00400000081_METH_001,6330
Sampling instrument: 91: Observers,6322
JNCCMNCR10000030_METH_002,6317
MT 1600,6306
MRCON04300000002_METH_099,6293
Hydro,6253
MRNE010800000038_METH_002,6235
Sampling device: KC demark small plankton net;  net mesh size: 100 µm,6234
https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/9357/,6222
capture for bio-logging:device type= PTT:device id= 69041,6216
capture for bio-logging:device type= PTT:device id= 69049,6211
JNCCMNCR10000031_METH_002,6195
capture for bio-logging:device type= PTT:device id= 82073,6157
GearType= Midwater trawl,6131
"Samples were taken by 1L Nansen bottle at  standard depths. The standard sedimentation technique for samples preparation (Morozova-Vodianitkaia, 1954) was used.",6118
GearType=longline,6088
capture for bio-logging:device type= PTT:device id= 43871,6049
Grab,6044
https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/5387/,6035
MRCCW3000000005A_METH_002,6021
Utermöhl method,5993
MRCON01500000003_METH_004,5946
capture for bio-logging:device type= PTT:device id= 98219,5934
AMBON cruise line transect survey,5925
capture for bio-logging:device type= PTT:device id= 43846,5922
Quantitative sampling of Macrozoobenthos,5909
capture for bio-logging:device type= PTT:device id= 43859,5878
https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/6514/,5862
capture for bio-logging:device type= PTT:device id= 4276,5844
crypticfish -- BOT,5810
capture for bio-logging:device type= PTT:device id= 43881,5805
Sampling device : Niskin bottle 5L,5794
MRNE017000000004_METH_002,5780
Underwater visual census using SCUBA diving gear,5775
http://ipt.sb-roscoff.fr/ipt/resource?r=benthobs-riv-mlx#methods,5774
MRCCW30000000051_METH_002,5771
