samplingProtocol_uid,unique_samplingProtocol_value,successful_extraction,is_real_url,extracted_md_fpath,extraction_notes_post_manual_inspection
4177,doi:10.1007/s00300-011-1100-4,TRUE,TRUE,extracted_url_04177.txt,failed to download site content - manually downloaded pdf - converted to txt
5733,https://www.ccamlr.org/en/document/publications/scientific-observers-manual-%E2%80%93-2011,FALSE,TRUE,,failed to download site content - login required
6938,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0653/,TRUE,TRUE,extracted_url_06938.md,
7393,https://doi.org/10.1080/00028487.2012.675914,FALSE,TRUE,extracted_url_07393.html,failed to download site content - manually saved as html
9962,BC-0.25,FALSE,FALSE,,failed to download site content
11871,DSN:TR:I.DEN.,FALSE,FALSE,,failed to download site content
16243,https://doi.org/10.3389/fmars.2021.796488,TRUE,TRUE,extracted_url_16243.md,
16931,http://vocab.nerc.ac.uk/collection/L22/current/NETT0071/,TRUE,TRUE,extracted_url_16931.md,
16970,Method_3.3,FALSE,FALSE,,failed to download site content
17382,DSN:I.DEN.,FALSE,FALSE,,failed to download site content
17837,DN:I.DEN.,FALSE,FALSE,,failed to download site content
18737,DSN:DN:I.DEN.,FALSE,FALSE,,failed to download site content
22434,DN:DA:I.DEN.,FALSE,FALSE,,failed to download site content
22703,https://doi.org/10.1578/AM.47.4.2021.349,TRUE,TRUE,extracted_url_22703.txt,failed to download site content - manually downloaded pdf - converted to txt
23732,DSN:DA:TR:I.DEN.,FALSE,FALSE,,failed to download site content
23738,Q:I.DEN.,FALSE,FALSE,,failed to download site content
26118,I.K.M.W.T.,FALSE,FALSE,,failed to download site content
26635,pelag.630,FALSE,FALSE,,failed to download site content
26832,DN:I.DEN.(1.4),FALSE,FALSE,,failed to download site content
27435,BN1.5/3M,FALSE,FALSE,,failed to download site content
27735,DN:I.DEN.(0.6),FALSE,FALSE,,failed to download site content
28320,PT.1.40,FALSE,FALSE,,failed to download site content
28462,https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf,TRUE,TRUE,extracted_url_28462.txt,failed to extract markdown from downloaded site content - manually downloaded pdf - converted to txt
28615,semipelag.trawl,FALSE,FALSE,,failed to download site content
29421,gr.24,FALSE,FALSE,,failed to download site content
31706,5.7mm,FALSE,FALSE,,failed to download site content
31804,BN2.4/4.5,FALSE,FALSE,,failed to download site content
31886,Pel.Trawl,FALSE,FALSE,,failed to download site content
